id,product_name,brand,price_inr,rating,review_count,category,source,link,merchant,battery_life_hrs,active_noise_cancellation,driver_size_mm,bluetooth_version,mic_count,ipx_rating,has_noise_cancellation,enhanced_at,ipx_level,has_usb_c,has_premium_codec,has_touch_control,has_voice_assistant,has_fast_charge,has_dual_pairing,anc_db,latency_ms,country_of_origin,charging_time_hrs,range_m,eq_modes,has_enc,has_gaming_mode,has_hi_res_audio,has_spatial_audio,has_low_latency,has_ipx,asin,parent_company,why_buy
1.0,"Boat Nirvana Ion, 120HRS Battery, Crystal Bionic Sound w/Dual EQ Modes, 4Mics ENx, App Support, Low Latency, IPX4, v.5.2 Bluetooth Earbuds, TWS Ear Buds Wireless Earphones with mic (Charcoal Black)",Boat,1599.0,4.1,13140.0,true wireless earbuds,enhanced_scrape,https://www.amazon.in/sspa/click?ie=UTF8&spc=MTo4MDM5MDkxODI1MDI1ODMwOjE3NzY5MTk0ODc6c3BfYXRmOjMwMDA2NDIwMzI3NjczMjo6MDo6&url=%2FboAt-Nirvana-Technology-Detection-Bluetooth%2Fdp%2FB0BW8TXJJ2%2Fref%3Dsr_1_1_sspa%3Fdib%3DeyJ2IjoiMSJ9.xWtvjmHNzFIjPnCtqXQpBq0UxRsgPU2XpvgJips6Y0kqldyiVj1gJ0wfIdIHhp4nFRXxxixsOIrZKZV7I5gAy39Nu59ZVdqVWUzFrN0BF3MR4AzOp4PpCIZR_0geY85-b4Nr2a4fUopYwq0T2UFYsNNWu5gHsyefeOebFbHQrjBMqVZQlH_GEqKUqGg8VdGyK3S0BspF2IrHtpYQ0DN1j4_ru95OS_uQgKOTZHqsHRY.QiVk3297qkjoR2m_IWrOFpJrueOOGQ006IR9Aa26lzA%26dib_tag%3Dse%26keywords%3Dwireless%2Bbluetooth%2Bearphones%26qid%3D1776919486%26sr%3D8-1-spons%26aref%3DpP7qowSQ6t%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1&aref=pP7qowSQ6t&sp_cr=ZAZ,,120.0,,,,4.0,IPX4,0.0,2026-04-23T12:23:58.203527,4.0,0.0,0.0,0.0,0.0,0.0,0.0,,,India,,,,1,0,0,0,0,,B0BW8TXJJ2,Imagine Marketing Ltd,"Exceptional 120H battery — great for all-day use | IP4 water resistance — safe for workouts and rain | 4-mic array with ENC for crystal-clear calls | Well-rated at 4.1/5 stars | Trusted by 13,140+ buyers"
2.0,"Boat Airdopes 219, 4Mics ENx, 40H Battery, Best in Segment for Calling, Stream Ad Free Music via App Support, Bluetooth Earbuds, TWS Ear Buds Wireless Earphones with mic (Forest Sage)",Boat,1099.0,3.9,4363.0,true wireless earbuds,enhanced_scrape,https://www.amazon.in/sspa/click?ie=UTF8&spc=MTo4MDM5MDkxODI1MDI1ODMwOjE3NzY5MTk0ODc6c3BfYXRmOjMwMDY0NzMxNjA5NjAzMjo6MDo6&url=%2FboAt-Airdopes-Bluetooth-Wireless-Earphones%2Fdp%2FB0FC2YFSN4%2Fref%3Dsr_1_2_sspa%3Fdib%3DeyJ2IjoiMSJ9.xWtvjmHNzFIjPnCtqXQpBq0UxRsgPU2XpvgJips6Y0kqldyiVj1gJ0wfIdIHhp4nFRXxxixsOIrZKZV7I5gAy39Nu59ZVdqVWUzFrN0BF3MR4AzOp4PpCIZR_0geY85-b4Nr2a4fUopYwq0T2UFYsNNWu5gHsyefeOebFbHQrjBMqVZQlH_GEqKUqGg8VdGyK3S0BspF2IrHtpYQ0DN1j4_ru95OS_uQgKOTZHqsHRY.QiVk3297qkjoR2m_IWrOFpJrueOOGQ006IR9Aa26lzA%26dib_tag%3Dse%26keywords%3Dwireless%2Bbluetooth%2Bearphones%26qid%3D1776919486%26sr%3D8-2-spons%26aref%3DIzBZ6NyydZ%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1&aref=IzBZ6NyydZ&sp_cr=ZAZ,,40.0,,,,4.0,,0.0,2026-04-23T12:23:58.203527,,0.0,0.0,0.0,0.0,0.0,0.0,,,India,,,,0,0,0,0,0,,B0FC2YFSN4,Imagine Marketing Ltd,"Long 40H battery life for extended listening | 4-mic array with ENC for crystal-clear calls | Popular choice with 4,363+ reviews"
3.0,Amazon Basics Pro Series Wireless Noise Cancelling ANC Over Ear Headphone | Bluetooth Headset | USB Charging | 10 m Paring Distance | 74 Hours Battery,Amazon Basics Pro Series Wireless Noise Cancelling ANC Over Ear Headphone,1859.0,,,over-ear headphone,enhanced_scrape,,Amazon.in,74.0,,,,,,1.0,2026-04-23T12:23:58.203527,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,0,0,0,0,0,,,,
4.0,OnePlus Nord Buds 3r,OnePlus Nord Buds,799.0,4.6,240.0,true wireless earbuds,enhanced_scrape,,Amazon.in,,,,,,,0.0,2026-04-23T12:23:58.203527,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,0,0,0,0,0,,,,
5.0,"Amazon Basics Pro Series ANC Over Ear Wireless Headphones, ANC (Up to 33 dB), Bluetooth 5.3, 28 Hr Playtime, 40mm Drivers, Comfort Fit with USB-C Fast",Amazon Basics Pro Series ANC Over Ear Wireless Headphones,1609.0,,,over-ear headphone,enhanced_scrape,,Amazon.in,28.0,,40.0,5.3,,,1.0,2026-04-23T12:23:58.203527,,1.0,0.0,0.0,0.0,0.0,0.0,,,,,,,0,0,0,0,0,,,,
6.0,iQOO TWS 1e In-Ear Earbuds,iQOO TWS,1899.0,,,true wireless earbuds,enhanced_scrape,,Amazon.in,,,,,,,0.0,2026-04-23T12:23:58.203527,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,0,0,0,0,0,,,,
7.0,Amazon Basics Pro Series Wireless Noise Cancelling ANC Over Ear Headphone | Bluetooth Headset,Amazon Basics Pro Series Wireless Noise Cancelling ANC Over Ear Headphone,1999.0,,,over-ear headphone,enhanced_scrape,,addmecart,,,,,,,1.0,2026-04-23T12:23:58.203527,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,0,0,0,0,0,,,,
8.0,boAt Airdopes 219 Wireless Earbuds,boAt Airdopes,1099.0,4.5,45.0,true wireless earbuds,enhanced_scrape,,Amazon.in,,,,,,,0.0,2026-04-23T12:23:58.203527,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,0,0,0,0,0,,,,
9.0,Portronics Muffs M5 Over Ear Hybrid ANC Bluetooth Headphone,Portronics Muffs M,2249.0,,,over-ear headphone,enhanced_scrape,,Amazon.in,,,,,,,1.0,2026-04-23T12:23:58.203527,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,0,0,0,0,0,,,,
10.0,boAt Rockerz 512 ANC 40dB Hybrid ANC 80H Battery,boAt Rockerz,2799.0,4.2,28.0,over-ear headphone,enhanced_scrape,,boAt,80.0,,,,,,1.0,2026-04-23T12:23:58.203527,,0.0,0.0,0.0,0.0,0.0,0.0,40.0,,,,,,0,0,0,0,0,,,,
